ID;type_code;address;traveller_ID
b1c2d3e4-f5a6-4101-9101-ab1234570001;H;rajesh.kumar@gmail.com;a1b2c3d4-e5f6-4001-8001-ef1234560001
b1c2d3e4-f5a6-4101-9101-ab1234570002;O;+91-98765-43210;a1b2c3d4-e5f6-4001-8001-ef1234560001
b1c2d3e4-f5a6-4101-9101-ab1234570003;P;priya.sharma@yahoo.com;a1b2c3d4-e5f6-4002-8002-ef1234560002
b1c2d3e4-f5a6-4101-9101-ab1234570004;T;+91-91234-56789;a1b2c3d4-e5f6-4002-8002-ef1234560002
b1c2d3e4-f5a6-4101-9101-ab1234570005;H;john.smith@outlook.com;a1b2c3d4-e5f6-4003-8003-ef1234560003
b1c2d3e4-f5a6-4101-9101-ab1234570006;O;+1-212-555-0147;a1b2c3d4-e5f6-4003-8003-ef1234560003
b1c2d3e4-f5a6-4101-9101-ab1234570007;P;emily.johnson@gmail.com;a1b2c3d4-e5f6-4004-8004-ef1234560004
b1c2d3e4-f5a6-4101-9101-ab1234570008;T;+1-310-555-0192;a1b2c3d4-e5f6-4004-8004-ef1234560004
b1c2d3e4-f5a6-4101-9101-ab1234570009;H;hans.mueller@web.de;a1b2c3d4-e5f6-4005-8005-ef1234560005
b1c2d3e4-f5a6-4101-9101-ab1234570010;O;+49-30-12345678;a1b2c3d4-e5f6-4005-8005-ef1234560005
b1c2d3e4-f5a6-4101-9101-ab1234570011;P;sofia.rossi@libero.it;a1b2c3d4-e5f6-4006-8006-ef1234560006
b1c2d3e4-f5a6-4101-9101-ab1234570012;T;+39-06-98765432;a1b2c3d4-e5f6-4006-8006-ef1234560006
b1c2d3e4-f5a6-4101-9101-ab1234570013;H;yuki.tanaka@gmail.com;a1b2c3d4-e5f6-4007-8007-ef1234560007
b1c2d3e4-f5a6-4101-9101-ab1234570014;O;+81-3-1234-5678;a1b2c3d4-e5f6-4007-8007-ef1234560007
b1c2d3e4-f5a6-4101-9101-ab1234570015;P;wei.chen@qq.com;a1b2c3d4-e5f6-4008-8008-ef1234560008
b1c2d3e4-f5a6-4101-9101-ab1234570016;T;+86-138-0013-8000;a1b2c3d4-e5f6-4008-8008-ef1234560008
b1c2d3e4-f5a6-4101-9101-ab1234570017;H;carlos.garcia@gmail.com;a1b2c3d4-e5f6-4009-8009-ef1234560009
b1c2d3e4-f5a6-4101-9101-ab1234570018;O;+34-91-1234567;a1b2c3d4-e5f6-4009-8009-ef1234560009
b1c2d3e4-f5a6-4101-9101-ab1234570019;P;aisha.khan@hotmail.com;a1b2c3d4-e5f6-4010-8010-ef1234560010
b1c2d3e4-f5a6-4101-9101-ab1234570020;T;+92-300-1234567;a1b2c3d4-e5f6-4010-8010-ef1234560010
